Product Number,Title,Short Title,Final Price,Unit Cost,In Stock,Manufactory,Ship From Country Name,Rating,Number of Reviews,Item Model,Shipping Charge,Warranty ID,Warranty Name,Best Selling Ranking,Lowest Price 30 Days,Item Length,Item Width,Item Height,Item Weight,Country of Manufacture,Limit Quantity,Seller ID,Seller Name,Seller Rating,Seller Reviews
35-181-317,"Corsair iCUE H100i RGB Elite Liquid CPU Cooler (16 Dynamic RGB LEDs, 120mm AF Elite Series FDB Fans, 240mm Radiator, iCUE Software Compatible, LGA 1851,1700, 1200, 115X, 2066, and AM4 Sockets) Black","Corsair iCUE H100i RGB Elite Liquid CPU Cooler (16 Dynamic RGB LEDs, 120mm AF Elite Series FDB Fans, 240mm Radiator, iCUE Software Compatible, LGA 1851,1700, 1200, 115X, 2066, and AM4 Sockets) Black",79.99$,139.99$,Yes,Corsair,United States,4,100,CW-9060058-WW,0.01,53,Extended Holiday Return Policy,3,79.99$,12.25,8.5,5.2,4.42,USA,3,,,,
19-113-841,AMD Ryzen 9 9950X - Ryzen 9 9000 Series Granite Ridge (Zen 5) 16-Core 4.3 GHz - Socket AM5 170W - Radeon Graphics Processor - 100-100001277WOF,AMD Ryzen 9 9950X Processor,599$,709$,Yes,AMD,United States,5,42,100-100001277WOF,0.01,53,Extended Holiday Return Policy,14,584$,5.0,5.0,1.5,0.2,USA,5,,,,
19-113-812,AMD Ryzen 7 5700X3D - Ryzen 7 5000 Series 8-Core 3.0 GHz Socket AM4 105W None Integrated Graphics Processor - 100-100001503WOF,AMD Ryzen 7 5700X3D Processor,229$,249$,Yes,AMD,United States,5,73,100-100001503WOF,0.01,54,Extended Holiday Replacement-Only Return Policy,3,184.48$,5.5,5.2,3.0,0.25,USA,5,,,,
35-181-332,"CORSAIR iCUE H150i ELITE CAPELLIX XT Liquid CPU Cooler - AF120 RGB ELITE Fans - 360mm Radiator - Intel LGA 1851,1700, 1200, 115X, 2066 / AMD AM5, AM4","CORSAIR iCUE H150i ELITE CAPELLIX XT Liquid CPU Cooler - AF120 RGB ELITE Fans - 360mm Radiator - Intel LGA 1851,1700, 1200, 115X, 2066 / AMD AM5, AM4",124.99$,219.99$,Yes,Corsair,United States,4,30,CW-9060070-WW,0.01,53,Extended Holiday Return Policy,2,124.99$,17.5,7.5,5.25,5.76,USA,3,,,,
19-118-462,Intel Core i9-14900K - Core i9 14th Gen 24-Core (8P+16E) LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - Boxed - BX8071514900K,Intel Core i9-14900K Desktop Processor,439.95$,599$,Yes,Intel,United States,4,153,BX8071514900K,0.01,44,Standard Return Policy,6,438.43$,6.85,6.02,2.68,1.0,USA,1,,,,
17-139-312,CORSAIR RMx SHIFT Series™ RM750x 80 PLUS Gold Fully Modular ATX Power Supply - Modular Side Interface - ATX 3.0 & PCIe 5.0 Compliant -  Zero RPM Fan Mode - 105°C-Rated Capacitors - 80 PLU Power Supply,CORSAIR RMx SHIFT Series™ RM750x 80 PLUS Gold Fully Modular ATX Power Supply - Modular Side Interface - ATX 3.0 & PCIe 5.0 Compliant -  Zero RPM Fan Mode - 105°C-Rated Capacitors - 80 PLU Power Supply,84.99$,129.99$,Yes,Corsair,United States,5,997,CP-9020251-NA,0.01,53,Extended Holiday Return Policy,4,79.19$,11.9,8.4,5.1,6.85,USA,3,,,,
20-236-991,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2E6000C36,CORSAIR Vengeance RGB Model CMH32GX5M2E6000C36,99.99$,107.99$,Yes,Corsair,United States,4,38,CMH32GX5M2E6000C36,0.01,53,Extended Holiday Return Policy,5,94.99$,6.56,5.3,0.5,0.3,USA,5,,,,
3D5-0007-00HW8,"iBUYPOWER Y60 Gaming Desktop - Intel Core i9 14900KF, NVIDIA GeForce RTX 4070 12GB, 32GB DDR5 RGB RAM, 2TB NVMe SSD _Y60BI9N4704","iBUYPOWER Y60 Gaming Desktop - Intel Core i9 14900KF, NVIDIA GeForce RTX 4070 12GB, 32GB DDR5 RGB RAM, 2TB NVMe SSD _Y60BI9N4704",1599.99$,2099.99$,Yes,iBUYPOWER,United States,5,10,Y60BI9N4704,0.01,53,Extended Holiday Return Policy,64,1599.99$,21.5,21.4,16.15,46.5,USA,3,,,,
24-028-007,"ASRock 27"" 180 Hz IPS QHD Gaming Monitor FreeSync (AMD Adaptive Sync) 2560 x 1440 (2K) PG27QFT2A","ASRock 27"" 180 Hz IPS QHD Gaming Monitor FreeSync (AMD Adaptive Sync) 2560 x 1440 (2K) PG27QFT2A",142.77$,239.99$,Yes,ASRock Phantom Gaming,United States,4,13,PG27QFT2A,0.01,53,Extended Holiday Return Policy,16,142.77$,27.0,20.0,7.0,22.0,,5,,,,
24-028-005,"ASRock Phantom PG27Q15R2A 27"" QHD 2560 x 1440 (2K) 165 Hz (144Hz and higher) Wi-Fi Antenna FreeSync Premium (AMD Adaptive Sync) Built-in Speakers Curved Gaming Monitor","ASRock Phantom PG27Q15R2A 27"" QHD 2560 x 1440 (2K) 165 Hz (144Hz and higher) Wi-Fi Antenna FreeSync Premium (AMD Adaptive Sync) Built-in Speakers Curved Gaming Monitor",142.77$,239.99$,Yes,ASRock Phantom Gaming,United States,5,132,PG27Q15R2A,0.01,53,Extended Holiday Return Policy,8,142.77$,28.0,20.0,11.0,20.0,,3,,,,
22-185-105,Seagate Exos X24 24TB 7200 RPM SATA 512MB Cache 6.0Gb/s 3.5-Inch Enterprise Internal Hard Drives (ST24000NM002H),Seagate Hard Drives ST24000NM002H 24TB 7200 RPM 512MB Cache,479.99$,479.99$,Yes,Seagate,United States,4,299,ST24000NM002H,0.01,53,Extended Holiday Return Policy,16,429.99$,6.0,5.0,1.03,1.5,USA,20,,,,
17-139-305,CORSAIR RM1000e Fully Modular Low-Noise ATX Power Supply - ATX 3.0 & PCIe 5.0 Compliant - 105°C-Rated Capacitors - 80 PLUS Gold  Efficiency - Modern Standby Support,CORSAIR RM1000e Fully Modular Low-Noise ATX Power Supply - ATX 3.0 & PCIe 5.0 Compliant - 105°C-Rated Capacitors - 80 PLUS Gold  Efficiency - Modern Standby Support,149.99$,179.99$,Yes,Corsair,United States,5,997,CP-9020264-NA,0.01,53,Extended Holiday Return Policy,3,149.99$,11.3,7.24,5.08,6.42,USA,5,,,,
13-145-517,"GIGABYTE X870E AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, USB4, Wi-Fi 7, 2.5GbE LAN, EZ-Latch","GIGABYTE X870E AORUS ELITE WIFI7 AM5 LGA 1718, ATX, DDR5, 4x M.2, PCIe 5.0, USB4, Wi-Fi 7, 2.5GbE LAN, EZ-Latch",319.99$,319.99$,Yes,GIGABYTE,United States,5,7,X870E AORUS ELITE WIFI7,0.01,53,Extended Holiday Return Policy,4,316.79$,13.15,10.75,3.2,5.15,USA,5,,,,
19-113-787,AMD Ryzen 5 7600 - Ryzen 5 7000 Series Zen 4 6-Core 3.8 GHz - Socket AM5 65W - AMD Radeon Graphics Processor - 100-100001015BOX,AMD Ryzen 5 7600 Processor,197.98$,229$,Yes,AMD,United States,5,82,100-100001015BOX,0.01,44,Standard Return Policy,15,187.96$,5.0,5.0,3.2,1.0,USA,5,,,,
20-374-427,G.SKILL Trident Z5 Neo RGB Series AMD EXPO 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3038F16GX2-TZ5NR,G.SKILL Trident Z5 Neo RGB Series Model F5-6000J3038F16GX2-TZ5NR,109.99$,112.99$,Yes,G.SKILL,United States,5,470,F5-6000J3038F16GX2-TZ5NR,0.01,53,Extended Holiday Return Policy,8,104.99$,6.3,5.4,0.59,0.37,,20,,,,
20-331-616,Team T-FORCE VULCAN Z 16GB (2 x 8GB) DDR4 3200 (PC4 25600) Desktop Memory Model TLZGD416G3200HC16FDC01,Team T-FORCE VULCAN Z Model TLZGD416G3200HC16FDC01,26.99$,49.99$,Yes,Team Group,United States,5,1669,TLZGD416G3200HC16FDC01,0.01,53,Extended Holiday Return Policy,41,26.99$,6.6,4.1,1.4,0.3,,20,,,,
35-103-364,"Cooler Master Hyper 212 Black CPU Air Cooler, SickleFlow 120mm Fan, Aluminum Top Cover, 4 Copper Heat Pipes, CryoFuze, 152mm(H), Brackets AMD Ryzen AM5|AM4, Intel LGA 1851|1700|1200 (RR-S4KK-25SN-R1)",COOLER MASTER Hyper 212 Black CPU Air Cooler,33.98$,29.99$,Yes,Cooler Master,United States,5,7,RR-S4KK-25SN-R1,3.99,53,Extended Holiday Return Policy,2,19.99$,7.17,5.83,4.65,1.96,,20,,,,
24-028-002,"ASRock PHANTOM GAMING 27"" FHD (1920 x 1080) 165Hz/1ms (144Hz and higher) FreeSync Gaming Monitor, 2 * DisplayPort, 1 * HDMI (PG27FF1A)","ASRock PHANTOM GAMING 27"" FHD (1920 x 1080) 165Hz/1ms (144Hz and higher) FreeSync Gaming Monitor, 2 * DisplayPort, 1 * HDMI (PG27FF1A)",107.76$,179.99$,Yes,ASRock Phantom Gaming,United States,5,106,PG27FF1A,7.99,53,Extended Holiday Return Policy,9,98.77$,27.0,18.0,6.5,13.5,,2,,,,
13-162-165,ASRock X870 STEEL LEGEND WIFI AM5 ATX Motherboard,ASRock X870 STEEL LEGEND WIFI ATX Motherboard,239.99$,259.99$,Yes,ASRock,United States,5,116,X870 Steel Legend WiFi,0.01,53,Extended Holiday Return Policy,19,239.99$,13.5,11.0,3.0,4.45,,5,,,,
20-982-132,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2B6000C40L,CORSAIR Vengeance RGB Model CMH32GX5M2B6000C40L,89.99$,114.99$,Yes,Corsair,United States,5,121,CMH32GX5M2B6000C40L,0.01,53,Extended Holiday Return Policy,35,89.99$,6.1,3.6,0.5,0.25,USA,5,,,,
22-184-958,Seagate Expansion 14TB External Hard Drive USB 3.0 with Rescue Data Recovery Services (STKP14000400),Seagate Expansion STKP14000400,189.99$,201.49$,Yes,Seagate,United States,4,280,STKP14000400,0.01,53,Extended Holiday Return Policy,1,169.99$,8.5,8.5,3.0,3.15,USA,20,,,,
20-374-436,G.SKILL Trident Z5 RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR5 7200 (PC5 57600) Desktop Memory Model F5-7200J3445G16GX2-TZ5RK,G.SKILL Trident Z5 RGB Series Model F5-7200J3445G16GX2-TZ5RK,129.99$,129.99$,Yes,G.SKILL,United States,4,1077,F5-7200J3445G16GX2-TZ5RK,0.01,53,Extended Holiday Return Policy,11,114.83$,6.3,5.4,0.59,0.39,,5,,,,
14-932-657,"GIGABYTE Radeon RX 7800 XT GAMING OC 16G Graphics Card, 3x WINDFORCE Fans 16GB 256-bit GDDR6, GV-R78XTGAMING OC-16GD Video Card","GIGABYTE Radeon RX 7800 XT GAMING OC 16G Graphics Card, 3x WINDFORCE Fans 16GB 256-bit GDDR6, GV-R78XTGAMING OC-16GD Video Card",489.99$,489.99$,Yes,GIGABYTE,United States,5,94,GV-R78XTGAMING OC-16GD,0.01,53,Extended Holiday Return Policy,5,459.97$,16.0,9.3,4.0,3.9,USA,5,,,,
13-144-667,"MSI MAG X870 TOMAHAWK WIFI AM5 ATX Gaming Motherboard, 4x SATA 6Gb/s, AMD Wi-Fi 7,USB 4.0","MSI MAG X870 TOMAHAWK WIFI AM5 ATX Gaming Motherboard, 4x SATA 6Gb/s, AMD Wi-Fi 7,USB 4.0",299.99$,299.99$,Yes,MSI,United States,5,42,MAG X870 TOMAHAWK WIFI,0.01,53,Extended Holiday Return Policy,13,296.99$,13.46,10.55,2.76,4.5,,5,,,,
13-144-567,MSI MAG Z790 TOMAHAWK WIFI LGA 1700 Intel Z790 SATA 6Gb/s DDR5 ATX Motherboard,MSI MAG Z790 TOMAHAWK WIFI LGA 1700 Intel Z790 SATA 6Gb/s DDR5 ATX Motherboard,209.99$,229.99$,Yes,MSI,United States,4,831,MAG Z790 TOMAHAWK WIFI,0.01,53,Extended Holiday Return Policy,10,169.99$,13.46,10.55,2.76,5.0,,3,,,,
35-181-241,CORSAIR iCUE SP120 RGB ELITE Performance 120mm White PWM Triple Fan Kit with iCUE Lighting Node,Corsair iCUE SP120 RGB ELITE CO-9050137-WW,31.99$,79.99$,Yes,Corsair,United States,5,144,CO-9050137-WW,0.01,53,Extended Holiday Return Policy,8,31.99$,7.1,5.2,4.1,1.6,USA,5,,,,
83-360-500,ABS Cyclone Aqua Gaming PC - Windows 11 - Intel i5 13400F - GeForce RTX 4060 8GB - DLSS 3.5 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - CA13400F4060,ABS Cyclone Aqua Gaming PC - Windows 11 - Intel i5 13400F - GeForce RTX 4060 8GB - DLSS 3.5 - AI-Powered Performance - 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - CA13400F4060,849.99$,999.99$,Yes,ABS,United States,5,178,CA13400F4060,0.01,53,Extended Holiday Return Policy,1,799.99$,20.65,19.0,12.6,20.35,USA,10,,,,
20-982-184,CORSAIR Vengeance RGB 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CMH32GX5M2N6000Z30,CORSAIR Vengeance RGB Model CMH32GX5M2N6000Z30,99.99$,129.99$,Yes,Corsair,United States,5,121,CMH32GX5M2N6000Z30,0.01,53,Extended Holiday Return Policy,33,99.99$,6.5,5.25,0.5,0.3,USA,20,,,,
20-313-680,"Team 32GB C162 USB 3.2 Gen1 Flash Drive, Up to 100MB/s (TC162332GB01)",Team C162 32GB USB 3.2 High Performance Flash Drive,5.28$,7.49$,Yes,Team Group,United States,4,153,TC162332GB01,0.99,53,Extended Holiday Return Policy,9,4.29$,3.5,2.55,0.35,0.02,,20,,,,
20-985-077,Team Group T-CREATE EXPERT 32GB (2 x 16GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model CTCED532G6000HC30DC01,Team Group T-CREATE EXPERT Model CTCED532G6000HC30DC01,88.99$,106.99$,Yes,Team Group,United States,4,66,CTCED532G6000HC30DC01,0.01,53,Extended Holiday Return Policy,10,85.99$,6.35,3.8,0.7,0.23,,20,,,,
20-232-091,G.SKILL Ripjaws V Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-32GVK,G.SKILL Ripjaws V Series Model F4-3200C16D-32GVK,51.99$,51.99$,Yes,G.SKILL,United States,5,7717,F4-3200C16D-32GVK,0.01,53,Extended Holiday Return Policy,2,49.49$,8.6,5.7,0.7,0.3,,10,,,,
20-250-247,"WD_BLACK 2TB SN850X NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS200T2X0E",WD_BLACK SN850X NVMe WDS200T2X0E,154.99$,214.99$,Yes,Western Digital,United States,5,884,WDS200T2X0E,0.01,53,Extended Holiday Return Policy,4,139.64$,6.1,4.02,0.87,0.1,USA,2,,,,
20-374-518,G.SKILL Flare X Series 64GB (2 x 32GB) 288-Pin PC RAM DDR5 6000 (PC5 48000) Desktop Memory Model F5-6000J3040G32GX2-FX5,G.SKILL Flare X Series Model F5-6000J3040G32GX2-FX5,189.99$,194.99$,Yes,G.SKILL,United States,5,264,F5-6000J3040G32GX2-FX5,0.01,53,Extended Holiday Return Policy,15,179.99$,8.6,5.6,0.6,0.26,,5,,,,
20-147-887,"SAMSUNG 990 EVO SSD 2TB, PCIe Gen 4x4, Gen 5x2 M.2 2280 NVMe Internal Solid State Drive, Speeds Up to 5,000MB/s, Upgrade Storage for PC Computer, Laptop, MZ-V9E2T0B/AM, Black","AMSUNG 990 EVO SSD 2TB, PCIe Gen  4x4 | 5x2 M.2 2280, Speeds Up-to  5,000MB/s  (MZ-V9E2T0B/AM)",129.99$,239.99$,Yes,SAMSUNG,United States,5,46,MZ-V9E2T0B/AM,0.01,53,Extended Holiday Return Policy,6,119.99$,5.5,4.0,1.0,0.5,KOR,3,,,,
35-181-130,"Corsair LL Series CO-9050072-WW LL120 RGB, 120mm Dual Light Loop RGB LED PWM Fan, 3 Fan Pack with Lighting Node PRO",Corsair LL Series LL120 RGB CO-9050072-WW,44.99$,89.99$,Yes,Corsair,United States,4,834,CO-9050072-WW,0.01,53,Extended Holiday Return Policy,3,44.99$,7.1,5.3,4.0,1.8,USA,5,,,,
9SIAZEBGV98270,IPASON - Gaming desktop - AMD Ryzen 5 5600G 6 core 3.9GHz - 16GB DDR4 3200MHz - 1TB M.2 NVMe - 550W PSU - Windows 11 home - WIFI - Gaming PC,IPASON - Gaming desktop - AMD Ryzen 5 5600G 6 core 3.9GHz - 16GB DDR4 3200MHz - 1TB M.2 NVMe - 550W PSU - Windows 11 home - WIFI - Gaming PC,489$,849$,Yes,IPASON,United States,4,591,egg5600g500g16g,0.01,364274,Ipason Official Return Policy,4,484.11$,20.0,18.0,11.0,16.0,CHN,99999,AZEB,Ipason Official,5.0,607.0
17-171-238,"Cooler Master V850 SFX Gold ATX 3.0 Full Modular Small Form Factor Power Supply, 850W 80+ Gold, 90-Degree 12VHPWR PCIe 5.0, SFX-to-ATX Bracket, Customized Cable, 10 Year (MPY-8501-SFHAGV-3U1)","Cooler Master V850 SFX Gold ATX 3.0 Full Modular Small Form Factor Power Supply, 850W 80+ Gold, 90-Degree 12VHPWR PCIe 5.0, SFX-to-ATX Bracket, Customized Cable, 10 Year (MPY-8501-SFHAGV-3U1)",139.99$,139.99$,Yes,Cooler Master,United States,4,180,MPY-8501-SFHAGV-3U1,0.01,53,Extended Holiday Return Policy,6,99.99$,10.0,8.0,4.0,4.6,,3,,,,
20-232-920,G.SKILL TridentZ RGB Series 32GB (2 x 16GB) 288-Pin PC RAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C18D-32GTZR,G.SKILL TridentZ RGB Series Model F4-3600C18D-32GTZR,69.99$,74.49$,Yes,G.SKILL,United States,5,4538,F4-3600C18D-32GTZR,0.01,53,Extended Holiday Return Policy,17,59.99$,6.2,5.4,0.1,0.42,,20,,,,
9SIB1V8K0E4237,KingSpec XG 7000 4TB M.2 2280 PCIe 4.0x4 NVME 1.4 Speed up to 7400MB/s Write Speed Up to 6600MB/s Internal Solid State Drive for PS5 PC Desktop Laptop Game-Player with Heatsink,KingSpec XG 7000 4TB M.2 2280 PCIe 4.0x4 NVME 1.4 Speed up to 7400MB/s Write Speed Up to 6600MB/s Internal Solid State Drive for PS5 PC Desktop Laptop Game-Player with Heatsink,195.99$,296.99$,Yes,KingSpec,United States,4,118,XG 7000-4TB,0.01,370814,KingSpec Official  Store Return Policy,20,195.99$,3.15,0.87,0.08,0.11,CHN,99999,B1V8,KingSpec Official Store,5.0,555.0
19-118-339,Intel Core i9-12900K - Core i9 12th Gen Alder Lake 16-Core (8P+8E) 3.2 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512900K,Intel Core i9-12900K Desktop Processor,276.88$,649.99$,Yes,Intel,United States,5,373,BX8071512900K,0.01,44,Standard Return Policy,7,264.99$,6.6,5.6,5.3,1.01,USA,2,,,,
20-331-263,Team Group 128GB C186 USB 3.2 Gen 1 Flash Drive (TC1863128GB01),Team C186 128GB USB 3.2 Gen 1 Flash Drive,7.99$,11.99$,Yes,Team Group,United States,4,530,TC1863128GB01,0.01,53,Extended Holiday Return Policy,4,5.99$,4.8,3.1,0.35,0.04,,20,,,,
20-147-860,"SAMSUNG 990 PRO SSD 1TB PCIe 4.0 M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P1T0B/AM",SAMSUNG 990 PRO MZ-V9P1T0B/AM,114$,159.99$,Yes,SAMSUNG,United States,5,444,MZ-V9P1T0B/AM,0.01,53,Extended Holiday Return Policy,3,99.99$,7.8,4.0,1.0,0.17,KOR,3,,,,
35-181-331,"Corsair iCUE H115i Elite CAPELLIX XT Liquid CPU Cooler - Two AF140 RGB Elite Fans - 280mm Radiator - Intel LGA 1851, 1700, 1200, 115X, 2066 / AMD AM5, AM4 - Included iCUE Commander CORE - Black","Corsair iCUE H115i Elite CAPELLIX XT Liquid CPU Cooler - Two AF140 RGB Elite Fans - 280mm Radiator - Intel LGA 1851, 1700, 1200, 115X, 2066 / AMD AM5, AM4 - Included iCUE Commander CORE - Black",84.99$,179.99$,Yes,Corsair,United States,5,7,CW-9060069-WW,0.01,53,Extended Holiday Return Policy,14,84.99$,14.25,7.2,6.2,5.03,USA,5,,,,
